NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;Si;;;177.7242;67.1713;48;6882.2681;4180;738;1.4102;38;1;10;36;12;36;10;2744;518;92;159
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;68.4557;1.0811;63.3206;32.3151;2492;1751.2432;82276;52772;2.2351;234;32;21;1322;1170;1389;1157;68043;45865;28023;43957
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;66.7996;1.04129;64.1505;31.5630;2434;1685.8737;79994;50013;2.2305;227;37;26;1259;1175;1295;1151;66152;43510;30350;45247
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;88;0.0000;8513;52;0.5424;24;5;0;54;34;45;1;8437;44;565;570
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;188.9195;67.1713;48;7009.6139;4294;715;1.3650;34;1;9;36;12;36;10;2862;508;105;169
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;191.7183;62.9731;45;7107.5721;4450;629;1.4102;26;1;7;36;9;39;7;2839;423;106;167
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;66.1669;1.00959;65.5380;30.6682;2365;1630.1132;79236;46471;2.2362;228;32;29;1208;1157;1236;1131;65434;40416;31265;46804
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;91;0.0000;8502;44;0.5672;22;6;0;54;37;47;1;8426;37;570;569
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;89;0.0000;8398;45;0.5863;23;7;0;54;35;48;1;8319;39;589;569
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;188.9195;61.5737;44;7113.1697;4432;651;1.3150;30;1;6;36;8;37;6;2828;442;105;165
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;64.3005;0.972458;66.1215;30.2662;2334;1612.8923;78821;45558;2.2542;233;28;32;1203;1131;1245;1114;65072;39579;31482;47072
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;61.7743;0.929695;66.4457;30.1236;2323;1608.5352;79473;44570;2.2518;241;27;35;1195;1128;1249;1099;65594;38678;32384;48340
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;96;0.0000;8443;43;0.6670;25;7;0;62;34;55;1;8358;38;592;572
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;193.1177;62.9731;45;7099.1757;4429;644;1.3766;34;1;4;37;8;39;6;2831;438;107;167
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;101;0.0000;8671;39;0.6844;22;5;0;64;37;58;1;8587;34;674;604
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;181.9225;83.9642;60;7503.6034;4766;596;1.6505;46;1;7;50;10;50;8;3092;422;102;153
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;59.4063;0.871438;68.1704;29.7475;2294;1639.6055;82353;44086;2.2144;255;31;33;1201;1093;1283;1069;68012;38200;37585;50036
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;60.2335;0.856999;70.2841;30.5775;2358;1622.7347;83592;41546;2.2893;264;35;32;1249;1109;1313;1089;68933;35991;39531;50040
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;109;0.0000;8683;32;0.7538;24;4;0;72;37;64;1;8595;28;686;622
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;179.1236;99.3576;71;8323.6541;5399;549;1.7391;42;1;13;60;11;59;9;3505;405;91;122
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;107;0.0000;8635;30;0.7122;27;42;0;65;42;59;2;8540;25;734;666
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;193.1177;110.5529;79;8649.7152;5614;567;1.9434;42;1;12;66;13;66;13;3659;406;80;104
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.6393;0.849722;72.5405;31.0054;2391;1641.0060;87147;39400;2.3146;263;43;38;1251;1140;1324;1123;71610;34110;41925;51971
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;105;0.0000;8735;33;0.7729;35;42;0;69;36;64;3;8642;27;739;692
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;204.3129;121.7481;87;8767.2651;5643;622;2.2382;50;1;15;72;15;75;15;3583;438;72;89
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;65.2471;0.856436;76.1844;32.5874;2513;1629.1925;88361;37275;2.4971;271;38;34;1317;1196;1425;1185;72273;32247;44320;52575
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;69.0359;0.861725;80.1135;34.8697;2689;1592.0016;87669;35099;2.7502;274;42;34;1405;1284;1512;1287;71502;30274;46940;54346
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;107;0.0000;8631;37;0.7938;44;41;0;72;35;65;3;8536;30;773;720
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;215.5081;128.7451;92;9033.1518;5788;667;2.1879;55;1;16;75;17;75;17;3739;466;66;81
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;114;0.0000;8682;39;0.8003;43;41;0;72;42;66;3;8590;32;770;751
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;216.9075;127.3457;91;9115.7167;5848;666;2.1652;49;1;17;75;16;76;16;3791;458;66;82
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;71.3943;0.869215;82.1365;35.8553;2765;1587.2165;87553;34846;2.8137;280;43;37;1445;1320;1535;1320;71408;30059;47636;56378
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;73.1493;0.869711;84.1076;36.3221;2801;1570.6829;86638;34486;2.8760;283;48;39;1466;1335;1542;1344;70599;29749;48301;55090
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;120;0.0000;8410;40;0.8618;43;41;0;75;45;69;3;8322;33;776;748
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;215.5081;130.1445;93;9112.9178;5802;710;2.1872;46;1;20;76;17;76;17;3765;487;64;82
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;132;0.0000;8757;48;0.9295;51;42;0;85;47;78;3;8673;41;784;862
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;207.1117;97.9582;70;9243.0624;5891;714;1.7225;38;0;18;54;16;57;16;3746;492;67;101
